freelunch,name,ell,dbn,black,asian,female,year,hisp,sped,male,white
78.8,PS 171 PATRICK HENRY                            ,3,04M171,28.5,4.7,46.3,2011-2012,62.8,14.6,53.7,2.1
98.4,THE BILINGUAL BICULTURAL SCHL                   ,28.2,04M182,8.5,1.1,51.8,2011-2012,90.1,7.9,48.2,0.3
88,PS 206 JOSE CELSO BABOSA                        ,14.7,04M206,28.8,1.2,46.3,2011-2012,63.5,35.3,53.7,6.4
42,MS 224 MANH. E.SCHOOL. ARTS&ACAD                ,1.6,04M224,36,6.9,58.3,2011-2012,42.9,8.5,41.7,13
89.3,ESPERANZA PREPATORY ACADEMY                     ,25.5,04M372,24.7,1.2,48.6,2011-2012,72,33.7,51.4,1.2
81.2,MOSAIC PREPARATORY ACADEMY                      ,12,04M375,35.4,1.8,45.2,2011-2012,55.4,26.2,54.8,1.5
74.9,RENAISSANCE SCHOOL OF THE ARTS                  ,5.2,04M377,45.4,1.5,46.9,2011-2012,51,33,53.1,1
84.8,GLOBAL NEIGHBORHOOD SECONDARY SCHOOL            ,11.7,04M381,34.1,3.4,42.5,2011-2012,55.9,31.8,57.5,5.6
70.5,GLOBAL TECHNOLOGY PREPARATORY                   ,7.1,04M406,47.6,2.4,44,2011-2012,47.6,27.4,56,1.2
71.8,COALITION SCHOOL FOR SOCIAL CHANGE              ,9.7,04M409,39.3,0.9,55.6,2011-2012,58.7,24.4,44.4,0.9
71.6,MANHATTAN CENTER FOR SCIENCE AND MATHEMATICS    ,2.7,04M435,19.7,20.1,53.6,2011-2012,57.4,5.8,46.4,2.2
76.8,PARK EAST HIGH SCHOOL                           ,4.3,04M495,33.2,4.9,57.9,2011-2012,59.6,10.6,42.1,0.3
42.4,CENTRAL PARK EAST I                             ,1.9,04M497,28.8,7.2,50.5,2011-2012,33.2,16.3,49.5,25.5
70.4,CENTRAL PARK EAST SECONDARY HIGH SCHOOL         ,4,04M555,26.7,6.5,67.9,2011-2012,64.5,13.5,32.1,1.6
67.3,YOUNG WOMEN'S LEADERSHIP SCHOOL                 ,2.2,04M610,31.2,5.1,100,2011-2012,60.1,6.7,0,1.6
62.7,ACADEMY OF ENVIRONMENTAL SCIENCE SECONDARY HIGH ,13.5,04M635,27.6,4.2,38,2011-2012,65.6,18.8,62,2.1
71.8,THE HERITAGE SCHOOL                             ,6.8,04M680,28.9,0.3,51.4,2011-2012,69.4,24.8,48.6,1
68.5,ISAAC NEWTON JHS FOR SCIENCE & MATH             ,12,04M825,22.6,3.4,46.1,2011-2012,72.6,16.5,53.9,1.4
61.1,CENTRAL PARK EAST II                            ,2.1,04M964,41.2,2.9,51.2,2011-2012,26.2,16.2,48.7,22.1
81.5,PS 030 HERNANDEZ/HUGHES                         ,11.1,05M030,52.5,0,50.2,2011-2012,43.9,28.5,49.8,3.3
73.3,PS 036 MARGARET DOUGLAS                         ,11.6,05M036,53.8,0.8,51.8,2011-2012,43.8,17.8,48.2,1.1
94.8,PS 046 ARTHUR TAPPAN                            ,10.9,05M046,51.5,1.1,49.4,2011-2012,46.1,15.9,50.6,0.8
87.6,PS 092 MARY MCLEOD BETHUNE                      ,14.3,05M092,62.1,2.1,46.8,2011-2012,32.9,21.4,53.2,1.8
82.8,PS 123 MAHALIA JACKSON                          ,23.7,05M123,60.1,1,55.6,2011-2012,35.2,13.2,44.4,2.7
79.8,PS 125 RALPH BUNCHE                             ,15.4,05M125,45.3,4.5,49.3,2011-2012,39.8,20.4,50.7,4
83.1,PS 129 JOHN H FINLEY                            ,9.1,05M129,46.6,1.6,51.1,2011-2012,48.1,15.3,48.9,2.7
81.6,PS 133 FRED R MOORE                             ,8.5,05M133,63.4,3.2,45.8,2011-2012,29.9,20.8,54.2,0.7
89.7,PS 154 HARRIET TUBMAN                           ,16.4,05M154,63,1.6,49.6,2011-2012,31.6,20.1,50.4,2.9
97.3,PS 161 PEDRO ALBIZU CAMPOS                      ,30.6,05M161,14.9,2.1,46.8,2011-2012,80.4,16.8,53.2,1.7
87.9,PS 175 HENRY H GARNET                           ,9.9,05M175,69.7,1,56.4,2011-2012,27.9,7.6,43.6,0.5
95.9,PS 194 COUNTEE CULLEN                           ,17.2,05M194,60.7,1.4,48.4,2011-2012,33,23.9,51.6,3.2
82.9,I S 195 ROBERTO CLEMENTE                        ,37.2,05M195,45.9,4.3,44.4,2011-2012,47.3,30.9,55.6,2.4
78.4,PS 197 JOHN B RUSSWURM                          ,7.7,05M197,66.4,0.6,46.7,2011-2012,26.5,19.9,53.3,4.6
77.4,PS 200 JAMES M SMITH                            ,17.5,05M200,59.6,0.4,45.7,2011-2012,36.8,20.7,54.3,2.7
67.6,HARLEM RENAISSANCE HIGH SCHOOL                  ,9.5,05M285,62.2,0.5,60.8,2011-2012,36.9,10.8,39.2,0.5
82.7,IS 286 RENAISSANCE MIL/LDRSHP                   ,12.7,05M286,61,0.8,42.8,2011-2012,36.9,20.8,57.2,0.8
76.6,KAPPA IV                                        ,10.4,05M302,52.6,1,46.4,2011-2012,43.8,17.7,53.6,2.1
78.5,MOTT HALL HIGH SCHOOL                           ,8.7,05M304,35,0.9,46.5,2011-2012,63.8,15.5,53.5,0.2
53.6,THURGOOD MARSHALL ACADEMY LOWER SCHOOL          ,0.5,05M318,86.8,0.5,50.9,2011-2012,10.4,9.4,49.1,0.9
46.3,COLUMBIA SECONDARY SCHOOL                       ,0.6,05M362,20,11.6,50.4,2011-2012,48.5,0.4,49.6,18.4
67,ACADEMY FOR SOCIAL ACTION                       ,9.9,05M367,61.4,0.5,51.3,2011-2012,38.1,21.6,48.7,0
77.7,URBAN ASSEMBLY SCHOOL FOR THE PERFORMING ARTS   ,6.1,05M369,59.1,0.5,74.6,2011-2012,38.2,16.6,25.4,0.8
76.7,THE URBAN ASSEMBLY INSTITUTE FOR NEW TECHNOLOGIE,8.7,05M410,77.5,0,34.4,2011-2012,21.9,29.4,65.6,0
81.9,CHOIR ACADEMY OF HARLEM                         ,2,05M469,76.1,0.3,60.2,2011-2012,22.5,13.3,39.8,0.6
57.6,FREDERICK DOUGLASS ACADEMY                      ,2.4,05M499,74.4,1.2,47.8,2011-2012,22.8,8.9,52.2,1.3
60,NEW DESIGN MIDDLE SCHOOL                        ,9.8,05M514,61.6,1.8,47.3,2011-2012,35.7,28.6,52.7,0.9
60,TEACHERS COLLEGE COMMUNITY SCHOOL               ,2,05M517,60,2,48,2011-2012,14,4,52,14
65.1,THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIA,1.4,05M670,78.1,0.2,55.9,2011-2012,20.9,10,44.1,0.2
71.8,BREAD & ROSES INTEGRATED ARTS HIGH SCHOOL       ,17.6,05M685,53.2,0.4,51.1,2011-2012,45.4,21,48.9,0.6
18.5,HIGH SCHOOL FOR MATHEMATICS SCI AND ENGINEERING ,0,05M692,15,36.2,34.2,2011-2012,21.2,0,65.8,26.1
85.9,PS 004 DUKE ELLINGTON                           ,44.6,06M004,8.2,0.6,49.7,2011-2012,90.3,13.1,50.3,0.7
89.1,PS 005 ELLEN LURIE                              ,46.3,06M005,6.6,0.3,51.5,2011-2012,92.5,13.2,48.5,0.4
95.3,PS 008 LUIS BELLIARD                            ,45.2,06M008,3.9,0.5,49.8,2011-2012,95.1,13,50.2,0.5
84.4,PS 018 PARK TERRACE EARLY CHIL                  ,58.1,06M018,0.5,0.5,49.8,2011-2012,99,8.3,50.2,0
86.4,PS 028 WRIGHT BROTHERS                          ,48.1,06M028,14.7,0.1,48.1,2011-2012,82.5,12.8,51.9,2.3
90.1,PS 048 PO MICHAEL J. BUCZEK                     ,40.7,06M048,2.3,1.4,48.9,2011-2012,93.1,17.4,51.1,2.8
89.6,JHS 052 INWOOD                                  ,37.9,06M052,6.5,0.3,47.8,2011-2012,92.3,17.6,52.2,0.8
96.6,PS 098 SHORAC KAPPOCK                           ,41.8,06M098,3.1,1.4,48.7,2011-2012,93.1,10.5,51.3,2
99.5,PS 115 ALEXANDER HUMBOLDT                       ,36.5,06M115,0.9,0,47.8,2011-2012,97.3,9.8,52.2,1.5
90,PS 128 AUDUBON                                  ,36.3,06M128,3.8,0.2,48.8,2011-2012,95.4,13.3,51.2,0.6
92.3,PS 132 JUAN PABLO DUARTE                        ,53.8,06M132,1,0.4,47.2,2011-2012,96.7,13.6,52.8,1.6
84.4,JHS 143 ELEANOR ROOSEVELT                       ,44.8,06M143,2.8,0,45.4,2011-2012,94.3,22.1,54.6,2.8
88.2,PS 152 DYCKMAN VALLEY                           ,34.3,06M152,2.3,0.8,48,2011-2012,94.8,12.7,52,1.2
90,PS 153 ADAM CLAYTON POWELL                      ,35,06M153,16.4,1.6,50.2,2011-2012,78.7,11.3,49.8,3
85,PS 173                                          ,23,06M173,3.3,1.1,50.3,2011-2012,92.2,10.2,49.7,2.6
63.4,PROF. JUAN BOSCH PUBLIC SCHOOL                  ,23.9,06M178,5.3,0.9,50.9,2011-2012,73,18.6,49.1,15.9
60.4,PS 187 HUDSON CLIFFS                            ,8.6,06M187,2.5,3.6,54,2011-2012,55.4,11,46,35.1
96.3,PS 189                                          ,40.6,06M189,1,0.5,51.4,2011-2012,97.4,11,48.6,1.1
93.4,PS 192 JACOB H SCHIFF                           ,29.3,06M192,8.9,0.5,50.3,2011-2012,88.4,13.4,49.7,1.9
85.6,PS 210 21ST CENT ACAD                           ,47.5,06M210,3.1,0.2,53.4,2011-2012,96.5,11.8,46.6,0.2
93.4,I S 218 SALOME UKENA                            ,43.9,06M218,2.9,0.3,39.2,2011-2012,95.6,22.5,60.8,1.2
62,I S 223 MOTT HALL                               ,2.1,06M223,8.5,2.4,54.6,2011-2012,86,4.6,45.4,2.7
70.4,P.S./I.S. 278                                   ,15.4,06M278,3.8,3.4,49.3,2011-2012,79.9,11.6,50.7,12.5
71.6,CITY COLLEGE ACADEMY OF THE ARTS                ,6.1,06M293,6,0.7,60.4,2011-2012,92,13.1,39.6,1.2
63.6,AMISTAD DUAL LANGUAGE SCHOOL                    ,23.4,06M311,1.6,2.1,53.7,2011-2012,87,10.9,46.3,8.3
45.3,MUSCOTA                                         ,9.9,06M314,8.2,5.3,53.5,2011-2012,55.1,12.8,46.5,30.5
94.4,MS 319 - MARIA TERESA                           ,39.1,06M319,4.6,0.5,45.8,2011-2012,93.8,13.6,54.2,0.9
92.5,MIDDLE SCHOOL 322                               ,38,06M322,1.5,0.9,47.1,2011-2012,95.2,15.8,52.9,2.2
91.2,MS 324 - PATRIA                                 ,43.5,06M324,11.9,0.7,49.3,2011-2012,85,17.3,50.7,1.4
96.7,PS 325                                          ,41,06M325,5,1.1,45.4,2011-2012,90.6,22.2,54.6,3.3
86.9,MS 326 - WRITERS TODAY & LEADERS TOMORROW       ,46.9,06M326,11.2,0,38.2,2011-2012,87,16.5,61.8,1.9
93.4,MS 328 - MANHATTAN MIDDLE SCHOOL FOR SCIENTIFIC ,49.9,06M328,7.9,0.2,43.7,2011-2012,91.1,21.5,56.3,0.2
78.8,COMMUNITY HEALTH ACADEMY OF THE HEIGHTS         ,30,06M346,5.2,0.2,47.7,2011-2012,93.8,17.3,52.3,0.8
87.5,WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL,19.6,06M348,2.3,0,44.2,2011-2012,96.7,18.1,55.8,0.3
92.1,HARBOR HEIGHTS                                  ,94.2,06M349,0,0,45.2,2011-2012,100,1.3,54.8,0
65.1,WASHINGTON HEIGHTS ACADEMY                      ,21.3,06M366,0.8,1.8,57.3,2011-2012,91,5.9,42.7,4.9
63.7,HAMILTON HEIGHTS SCHOOL                         ,30.9,06M368,23.6,4.7,47.6,2011-2012,62.2,7.3,52.4,9
99.2,HIGH SCHOOL FOR EXCELLENCE AND INNOVATION       ,19.7,06M423,25.8,0,47.2,2011-2012,72.5,34.3,52.8,0
89.3,HIGH SCHOOL FOR INTERNATIONAL BUSINESS AND FINAN,43,06M462,5.2,0.5,36.2,2011-2012,91.4,13.7,63.8,1.4
83.8,HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS        ,26.9,06M463,10.7,1,36.5,2011-2012,87.1,17,63.5,0.5
72.5,HIGH SCHOOL FOR LAW AND PUBLIC SERVICE          ,32,06M467,13,1,41.4,2011-2012,84.4,16.7,58.6,1.3
90.7,HIGH SCHOOL FOR HEALTH CAREERS AND SCIENCES     ,31.2,06M468,13.7,0.7,47.3,2011-2012,83.8,13.8,52.7,1
86.2,I.S. 528 BEA FULLER RODGERS SCHOOL              ,17.5,06M528,2.6,0.4,58.8,2011-2012,96.4,12.4,41.2,0.7
76.3,A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL           ,2.3,06M540,32.8,4,50.1,2011-2012,62.3,5.5,49.9,0.7
92.8,GREGORIO LUPERON HIGH SCHOOL FOR SCIENCE AND MAT,89.6,06M552,0,0,51.1,2011-2012,99.8,0,48.9,0
96.2,PS 001 COURTLANDT SCHOOL                        ,30,07X001,21.4,0.7,51.5,2011-2012,75.5,19.5,48.5,1.6
97.3,PS 005 PORT MORRIS                              ,22.3,07X005,26.4,0.4,47,2011-2012,70.6,17.2,53,1.5
80.4,PS 018 JOHN PETER ZENGER                        ,26.4,07X018,31.5,0.2,47.5,2011-2012,65.8,19.6,52.5,1.1
100,PS 025 BILINGUAL SCHOOL                         ,29.7,07X025,10.3,0,49.9,2011-2012,88.9,16.6,50.1,0.8
83.8,PS 029 MELROSE SCHOOL                           ,11.5,07X029,32.6,1.7,50.5,2011-2012,63.3,17.4,49.5,2
95.5,PS 030 WILTON                                   ,21.2,07X030,19.1,0.6,49.7,2011-2012,78.8,15.7,50.3,1.6
91.4,PS/MS 031 THE WILLIAM LLOYD GARRISON            ,12.1,07X031,24.2,3,49.5,2011-2012,70.9,17.8,50.5,1.4
95.8,PS 043 JONAS BRONCK                             ,10.7,07X043,23.9,0.6,50.9,2011-2012,74.2,14.2,49.1,1.2
91.6,PS 049 WILLIS AVE                               ,20,07X049,30.7,0,49.3,2011-2012,67.9,18.4,50.7,0.6
98,PS 065 MOTHER HALE ACADEMY                      ,16.5,07X065,28.5,1,46,2011-2012,70.3,21.2,54,0.2
98.6,JHS 151 LOU GEHRIG                              ,26.6,07X151,27.3,0,51.7,2011-2012,71.3,23.4,48.3,1.4
96.7,PS 154 JONATHAN D HYATT                         ,12.8,07X154,33.5,0.6,47.5,2011-2012,60.8,17.2,52.5,1.5
85.5,PS 157 GROVE HILL                               ,13.9,07X157,33.9,0.5,50,2011-2012,65.2,14.4,50,0
91.3,PS 161 PONCE DE LEON                            ,25.5,07X161,28.2,0.3,47.7,2011-2012,69.1,24.5,52.3,1.2
79.1,JHS 162 LOLA RODRIGUEZ DE TIO                   ,21.7,07X162,25.5,0.7,48.4,2011-2012,73.6,26.6,51.6,0.2
89.4,PS 179                                          ,27.6,07X179,18,1,47.6,2011-2012,77.9,19.8,52.4,0.5
84.3,MS 203                                          ,22.6,07X203,29.7,0,44.8,2011-2012,69.9,22.6,55.2,0.4
72.9,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL ,8.8,07X221,29.9,0.6,52.6,2011-2012,68.8,19.3,47.4,0.5
91.6,MS 223/THE LABORATORY SCHOOL OF FINANCE AND TECH,8.3,07X223,25.1,0,53.2,2011-2012,74.5,17,46.8,0.4
89.9,P.S./I.S. 224                                   ,35.1,07X224,22.8,1.3,43.7,2011-2012,73.7,19.3,56.3,2.1
89.2,PS 277                                          ,18.5,07X277,24.4,0.6,47.7,2011-2012,73.3,18.5,52.3,0.8
84.8,SOUTH BRONX ACADEMY FOR APPLIED MEDIA           ,11.9,07X296,35.7,0.6,54.9,2011-2012,63.1,24.4,45.1,0.3
88.4,ACADEMY OF PUBLIC RELATIONS                     ,40.2,07X298,18.4,0.4,50.4,2011-2012,80.8,20.3,49.6,0.4
78.3,CROTONA ACADEMY HIGH SCHOOL                     ,2.4,07X321,42.7,0.8,68.5,2011-2012,54,6.5,31.5,0.8
77.5,INTERNATIONAL COMMUNITY HIGH SCHOOL             ,90.1,07X334,20.1,4.8,51.4,2011-2012,71.8,1.8,48.6,2
92.6,ACADEMY OF APPLIED MATHEMATICS AND TECHNOLOGY   ,15.7,07X343,31.9,0.8,50.4,2011-2012,65.7,26.8,49.6,1.2
92.7,YOUNG LEADERS ELEMENTARY SCHOOL                 ,34.1,07X369,16.2,0.3,45.9,2011-2012,79.4,16.6,54.1,3.7
71.7,JILL CHAIFETZ TRANSFER HIGH SCHOOL              ,3,07X379,40.9,0.5,63.1,2011-2012,56.6,7.6,36.9,1
64.7,BRONX HAVEN HIGH SCHOOL                         ,7.8,07X381,35.9,0.7,62.7,2011-2012,62.7,8.5,37.3,0.7
91.3,PERFORMANCE SCHOOL                              ,25,07X385,36.2,0.8,45.7,2011-2012,61.5,20,54.3,1.2
82.7,COMMUNITY SCHOOL FOR SOCIAL JUSTICE             ,13.2,07X427,32.3,0.6,50.8,2011-2012,65.5,19.7,49.2,0.9
78.5,MOTT HAVEN VILLAGE PREPARATORY HIGH SCHOOL      ,9.6,07X473,22.6,1.1,49.9,2011-2012,76,18.5,50.1,0
90.1,UNIVERSITY HEIGHTS SECONDARY SCHOOL AT BRONX COM,3.7,07X495,18.1,2.6,56.8,2011-2012,78.1,5.2,43.2,1.3
68.3,HOSTOS-LINCOLN ACADEMY OF SCIENCE               ,5.6,07X500,24,2,54.8,2011-2012,72.7,11.9,45.2,0.7
89.9,FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES      ,21.9,07X520,26,3.2,54.7,2011-2012,68.8,22.5,45.3,1
60,BRONX DESIGN AND CONSTRUCTION ACADEMY           ,20.3,07X522,29.7,2.2,15.2,2011-2012,67.4,19.6,84.8,0
77,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL         ,14.1,07X527,41.2,1.4,46,2011-2012,56,18.5,54,1
90.4,NEW EXPLORERS HIGH SCHOOL                       ,15.7,07X547,30.3,0.5,42.3,2011-2012,68.1,25.1,57.7,0.5
74.3,ACADEMY FOR CAREERS IN SPORTS                   ,5,07X548,26.6,0.4,15.7,2011-2012,70.4,18.7,84.3,0.4
79.1,BRONX ACADEMY OF LETTERS                        ,9.4,07X551,34.1,0.5,55.5,2011-2012,64.3,24,44.5,0.9
76.7,ALFRED E. SMITH CAREER AND TECHNICAL EDUCATION H,9.1,07X600,35.9,1.4,7.3,2011-2012,61.5,22,92.7,0.7
75.7,SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION HI,17,07X655,32.4,1.2,20.4,2011-2012,64.9,26.1,79.6,0.8
77.8,HEALTH OPPORTUNITIES HIGH SCHOOL                ,10.4,07X670,39.2,3.1,71.4,2011-2012,56.9,19.6,28.6,0.5
52.4,PS 014 SEN JOHN CALANDRA                        ,6.5,08X014,4.3,2.3,42.1,2011-2012,57.7,16.4,57.9,35.5
78.6,PS 036 UNIONPORT                                ,14.1,08X036,10.9,15.8,50.1,2011-2012,68.6,16.4,49.9,2.7
86.3,PS 048 JOSEPH R DRAKE                           ,18.6,08X048,25.4,0.2,46.4,2011-2012,73.3,19.9,53.6,0.7
87.3,PS 062 INOCENSIO CASANOVA                       ,14.4,08X062,19.4,0,46.7,2011-2012,78.7,18.9,53.3,1.5
82.7,PS 069 THE NEW VISION SCHOOL                    ,12.9,08X069,15.9,2.1,52.2,2011-2012,78.9,20.6,47.8,2.8
57,PS 071 ROSE E SCALA                             ,6.1,08X071,4.5,7.3,49.7,2011-2012,58.5,18.9,50.3,28.8
67.7,PS 072 DR WILLIAM DORNEY                        ,5.1,08X072,20.8,5.1,47.7,2011-2012,68.6,17.9,52.3,5.2
89.9,PS 075                                          ,14.8,08X075,25.6,0.3,47.9,2011-2012,71.2,15.6,52.1,1.8
75.5,PS 093 ALBERT G. OLIVER                         ,12.2,08X093,55.1,0,49.6,2011-2012,43.4,21.7,50.4,1
75.1,PS 100 ISSAC CLASSON                            ,7.5,08X100,39.1,0.9,47.1,2011-2012,58.4,19.9,52.9,0.8
60.1,MS 101X P.O. EDWARD R. BYRNE                    ,0.9,08X101,14.2,14,51.3,2011-2012,51.3,11.9,48.7,19.6
79.1,PS 107                                          ,10.3,08X107,44.4,1.5,53.2,2011-2012,52,18.9,46.8,0.8
75.4,PS 119                                          ,22.3,08X119,9.6,29.2,53.2,2011-2012,56.3,10.9,46.8,3.8
88.1,JHS 123 JAMES M. KIERNAN                        ,22.4,08X123,26.4,1,53.4,2011-2012,71.7,19.7,46.6,0.6
83.7,JHS 125 HENRY HUDSON                            ,17.9,08X125,14.6,24.8,47.5,2011-2012,57.9,17.6,52.5,1.7
90,PS 130 ABRAM STEVENS HEWITT                     ,27.1,08X130,25.6,0.6,50.6,2011-2012,71.6,15.1,49.4,1.5
76.3,JHS 131 ALBERT EINSTEIN                         ,6.4,08X131,39.7,1.9,50.9,2011-2012,57.3,19.7,49.1,0.2
83.3,PS 138 SAMUEL RANDALL                           ,7,08X138,30.6,1.7,48.3,2011-2012,65.3,14.8,51.7,0.4
89.4,PS 140 EAGLE                                    ,6.9,08X140,39.9,1,46.5,2011-2012,56.8,12.7,53.5,2.3
95.2,PS 146 EDWARD COLLINS                           ,13.8,08X146,42.6,0.8,50.1,2011-2012,54.2,10.8,49.9,1.2
86.4,PS 152 EVERGREEN                                ,26,08X152,23,0.8,52.4,2011-2012,74.2,12.2,47.6,0.7
75.9,PS 182                                          ,3.9,08X182,29.7,5.6,52,2011-2012,63.3,10.9,48,1.1
85.6,BRONX STUDIO SCHOOL                             ,9.2,08X269,22.4,1.2,56,2011-2012,74.8,13.4,44,1
72.2,YOUNG WOMEN'S LEADERSHIP SCHOOL BRONX           ,2.6,08X282,45.9,2.9,99.7,2011-2012,46.4,15.6,0.3,2.4
66.4,RENAISSANCE HIGH SCHOOL OF MUSICAL THEATER & TEC,4.5,08X293,25.4,2.6,62,2011-2012,63.8,21.7,38,7.7
74.6,GATEWAY SCHOOL FOR ENVIRONMENTAL RESEARCH AND TE,11.5,08X295,33.1,5.6,40,2011-2012,59.4,24.1,60,1
81.6,MS 301 PAUL L. DUNBAR MS                        ,16.6,08X301,32.6,0,49.8,2011-2012,64.6,18.8,50.2,2.5
99.6,MS 302 LUISA DESSUS CRUZ MS                     ,23.8,08X302,20.5,0.4,48.1,2011-2012,78.5,26,51.9,0.6
57.7,PS 304 EARLY CHILDHOOD SCHOOL                   ,2.6,08X304,5.9,5,48,2011-2012,48.3,14.5,52,39
75.8,PABLO NERUDA ACADEMY FOR ARCHITECTURE AND WORLD ,15.9,08X305,26.2,2.5,34,2011-2012,69.9,27.3,66,1.4
74.2,MILLENNIUM ART ACADEMY                          ,5.4,08X312,32.5,1.8,50.8,2011-2012,64.3,20.4,49.2,1
79.6,HOLCOMBE L. RUCKER SCHOOL OF COMMUNITY RESEARCH ,12.6,08X332,39.9,0.9,50.8,2011-2012,56.8,18,49.2,0.6
81.9,NEW SCHOOL #1 @ PS 60                           ,29.4,08X333,22.2,0.2,47.9,2011-2012,76.2,17.3,52.1,0.9
91.4,NEW SCHOOL #2 @ PS 60                           ,15.6,08X335,25.5,1,46.9,2011-2012,71.4,14.1,53.1,0.5
79.2,THE SCHOOL FOR INQUIRY AND SOCIAL JUSTICE       ,9.8,08X337,38.3,2.4,49.1,2011-2012,57.8,23.3,50.9,1.4
73.6,URBAN ASSEMBLY ACADEMY OF CIVIC ENGAGEMENT      ,15.6,08X366,21.8,7,46.1,2011-2012,61.7,29.2,53.9,7
87.3,ARCHIMEDES ACADEMY FOR MATH SCIENCE AND TECH    ,2.6,08X367,35,2.8,38,2011-2012,60.2,22,62,2
62.7,URBAN INSTITUTE OF MATHEMATICS                  ,6.3,08X371,11.6,5.3,46,2011-2012,59.3,18.2,54,23.5
84.2,BRONX MATHEMATICS PREPARATORY SCHOOL            ,9,08X375,34.7,4.6,44.6,2011-2012,59.8,25.4,55.4,0.9
81.3,ANTONIA PANTOJA PREPARATORY ACADEMY             ,7.4,08X376,27.8,4.9,53,2011-2012,66,24.1,47,0.7
73.9,BRONX COMMUNITY HIGH SCHOOL                     ,4.5,08X377,33,1,49.5,2011-2012,63.5,5,50.5,1
66.8,HERBERT LEHMAN HIGH SCHOOL                      ,9.2,08X405,23,6.8,38.9,2011-2012,60.6,20.9,61.1,9
93,THE HUNTS POINT SCHOOL                          ,19.1,08X424,27.3,0,46.9,2011-2012,70.9,23.2,53.1,1.5
87.2,BRONX BRIDGES HIGH SCHOOL                       ,79.4,08X432,8.4,5.2,47.7,2011-2012,83.2,7.7,52.3,2.6
85.3,SOUNDVIEW ACADEMY FOR CULTURE AND SCHOLARSHIP   ,9.3,08X448,33.8,1,46.6,2011-2012,63.3,19.3,53.4,0.6
69.2,BRONX GUILD: A NEW YORK CITY OUTWARD BOUND SCHOO,7.2,08X452,33.8,3.9,50.5,2011-2012,61.3,23,49.5,0.7
59.6,MOTT HALL COMMUNITY SCHOOL                      ,6.6,08X467,16.5,1.8,44.1,2011-2012,62.5,23.5,55.9,18.4
72.3,THE FELISA RINCON DE GAUTIER INSTITUTE FOR LAW A,14,08X519,21.8,1.4,57,2011-2012,76,20.9,43,0.6
81.9,BANANA KELLY HIGH SCHOOL                        ,13.5,08X530,32.6,0.7,50.1,2011-2012,65.4,25.7,49.9,1.1
60,BRONX ARENA HIGH SCHOOL                         ,4.7,08X537,40.3,2.3,56.6,2011-2012,55.8,6.2,43.4,0.8
83.8,SCHOOL FOR COMMUNITY RESEARCH AND LEARNING      ,11,08X540,28.8,4.7,42.9,2011-2012,64.9,28.3,57.1,1
76.2,HIGH SCHOOL X560 - BRONX ACADEMY HIGH SCHOOL    ,9.2,08X560,37.9,0,55.9,2011-2012,61,6.7,44.1,1
85.7,JANE ADDAMS HIGH SCHOOL FOR ACADEMIC CAREERS    ,11.2,08X650,36.8,1.5,71.7,2011-2012,60.8,22.2,28.3,0.3
89.9,PS 002 MORRISANIA                               ,28.6,09X002,42.9,0,44.9,2011-2012,57.1,49,55.1,0
90,PS\MS 004 CROTONA PARK WEST                     ,10.6,09X004,52.9,0.5,47.1,2011-2012,45.3,19.7,52.9,0.5
89.4,PS 011 HIGHBRIDGE                               ,34.2,09X011,31.4,0.1,47.2,2011-2012,67.4,16.7,52.8,0.7
97.3,JHS 022 JORDAN L MOTT                           ,29.9,09X022,26.5,1.5,49.6,2011-2012,71.1,18.2,50.4,0.6
95.6,PS 028 MOUNT HOPE                               ,31.3,09X028,16.1,0.4,47.7,2011-2012,83.3,13.7,52.3,0
87.4,PS 035 FRANZ SIEGEL                             ,20.3,09X035,30,0.9,49.5,2011-2012,68.3,11.9,50.5,0.3
92.9,PS 042 CLAREMONT                                ,18.4,09X042,40.4,0.6,47.4,2011-2012,57.4,22.2,52.6,1.6
88.2,PS 053 BASHEER QUISIM                           ,32.1,09X053,31.9,1.2,49.6,2011-2012,65.7,8.7,50.4,0.9
85.8,PS 055 BENJAMIN FRANKLIN                        ,19,09X055,49.6,0.3,44.4,2011-2012,49.6,18,55.6,0.3
84.7,PS 058                                          ,27.2,09X058,26.3,0.2,46,2011-2012,71.9,24.9,54,1.4
94.8,PS 063 AUTHOR'S ACADEMY                         ,18.3,09X063,39.9,0.2,53.4,2011-2012,59,17.5,46.6,0.7
98.2,PS 064 PURA BELPRE                              ,49,09X064,15,0.9,46.9,2011-2012,83.4,16.3,53.1,0.3
92.5,PS 070 MAX SCHOENFELD                           ,29,09X070,22.9,2.3,51.4,2011-2012,74.2,9.3,48.6,0.2
95.9,PS 073 BRONX                                    ,21.5,09X073,29.5,0,48.1,2011-2012,68.4,11.6,51.9,2.1
91.2,PS 088 S. SILVERSTEIN LITTLE S                  ,27.1,09X088,33.9,0,47.1,2011-2012,65.6,11.8,52.9,0
