freelunch,name,ell,dbn,black,asian,female,year,hisp,sped,male,white
10.6,EAST SIDE MIDDLE SCHOOL                         ,0.2,02M114,2.2,15.4,57.8,2011-2012,11.8,14.3,42.2,70.5
23.7,PS 116 MARY LINDLEY MURRAY                      ,5.8,02M116,9,20.9,50.6,2011-2012,20.2,12.4,49.4,45
60.8,PS 124 YUNG WING                                ,23.7,02M124,2.8,92.4,47.6,2011-2012,3.5,8.3,52.4,1.1
66.5,PS 126 JACOB AUGUST RIIS                        ,20,02M126,8.4,53,47.9,2011-2012,24.7,15.7,52.1,13.6
65.7,PS 130 HERNANDO DESOTO                          ,16.8,02M130,1.2,87.7,48,2011-2012,5,10.9,52,3.8
86.3,I S 131                                         ,45.9,02M131,6.7,79.7,44.1,2011-2012,12.6,18.7,55.9,1.1
11.4,PS 150                                          ,2.2,02M150,5.9,15.1,51.1,2011-2012,13.4,13.4,48.9,62.9
32.2,PS 151                                          ,6.1,02M151,11.8,8.9,48.6,2011-2012,29.3,15.4,51.4,48.6
15.2,PS 158 BAYARD TAYLOR                            ,4.2,02M158,2.9,9.2,48,2011-2012,13.3,19.4,52,71.1
37.2,JHS 167 ROBERT F WAGNER                         ,5.1,02M167,10.1,27,46.4,2011-2012,23.6,15.6,53.6,38.7
9.8,PS 183 ROBERT L STEVENSON                       ,5.4,02M183,5.1,16.3,44.2,2011-2012,11.8,16.6,55.8,62.1
61.3,PS 198 ISADOR E IDA STRAUS                      ,7.6,02M198,19.4,11.4,45.9,2011-2012,42.3,19.2,54.1,25
19.8,PS 212 MIDTOWN WEST                             ,3.8,02M212,11.7,12,50.7,2011-2012,20.7,11.1,49.3,49.6
37.2,PS 217/IS 217 ROOSEVELT IS.                     ,9.4,02M217,26.2,24.5,55,2011-2012,22.4,10.1,45,26.9
35.5,ELLA BAKER SCHOOL                               ,3.1,02M225,27.4,5.9,57,2011-2012,48.6,10,43,15.6
6.4,PS 234 INDEPENDENCE SCHOOL                      ,0.7,02M234,2.9,13.7,49.6,2011-2012,8,12.7,50.4,70.6
16.2,MS 255 SALK SCHOOL OF SCIENCE                   ,0.3,02M255,4.4,17.6,54.1,2011-2012,12.7,13,45.9,63.7
26,MS 260 CLINTON SCHL WRITERS &                   ,3.9,02M260,12.1,10.9,66.4,2011-2012,22.7,23.4,33.6,52.3
10.9,P.S. 267                                        ,8.2,02M267,5.1,10.2,49,2011-2012,12.2,10.2,51,69.4
7.4,BATTERY PARK CITY SCHOOL                        ,3.8,02M276,5.6,22.5,51.5,2011-2012,12.7,10.3,48.5,49.7
68.4,FOOD AND FINANCE HIGH SCHOOL                    ,2.1,02M288,44.1,3,55,2011-2012,47.6,18.5,45,4.8
37.3,IS 289                                          ,2.4,02M289,8.2,39.7,52.4,2011-2012,17.8,16.8,47.6,31.8
9.3,PS 290 MANHATTAN NEW SCHOOL                     ,3.5,02M290,3.3,13.9,49.6,2011-2012,8.5,12.3,50.4,71.3
60.8,HIGH SCHOOL FOR HISTORY & COMMUNICATION         ,3.8,02M294,27.7,4.1,46.6,2011-2012,60.6,20.4,53.4,7.6
72.4,HIGH SCHOOL OF HOSPITALITY MANAGEMENT           ,9.5,02M296,26.5,5.3,67.8,2011-2012,66.1,14.8,32.2,2.1
56.7,PACE HIGH SCHOOL                                ,2.2,02M298,32.4,10.1,56.3,2011-2012,42,13.8,43.7,3.9
75.3,URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION,10.9,02M300,29.2,6,25.1,2011-2012,59.2,20,74.9,4.9
75.6,THE FACING HISTORY SCHOOL                       ,20.8,02M303,23.5,0.7,49.4,2011-2012,73.2,21.7,50.6,2.4
68.3,THE URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW,6.1,02M305,41.7,3.8,56.1,2011-2012,50.6,17,43.9,3.5
62.2,LOWER MANHATTAN ARTS ACADEMY                    ,3.9,02M308,30.7,9.5,60.1,2011-2012,55.7,24.7,39.9,3.6
29.2,NYC LAB MS FOR COLL. STUDIES                    ,0.2,02M312,3.8,44.5,48.9,2011-2012,10.8,11.8,51.1,33.7
51,THE JAMES BALDWIN SCHOOL: A SCHOOL FOR EXPEDITIO,4.8,02M313,34.3,4,47.6,2011-2012,54.4,12.9,52.4,6.5
74.9,THE URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG ,2.6,02M316,46.8,3.4,100,2011-2012,48.4,15.6,0,1.3
76,THE 47 AMERICAN SIGN LANGUAGE & ENGLISH LOWER SC,9.3,02M347,21.9,4.2,50.2,2011-2012,48.4,32.6,49.8,22.8
59,GRAMERCY ARTS HIGH SCHOOL                       ,3,02M374,45.3,2.8,73.7,2011-2012,45.1,12.3,26.3,6.7
34.6,NYCISCHOOL                                      ,0.5,02M376,20.6,11.5,51.3,2011-2012,43,10.9,48.7,24
64,MANHATTAN BUSINESS ACADEMY                      ,9.9,02M392,29.5,6.6,41,2011-2012,58.7,13.9,59,4.8
58.7,THE BUSINESS OF SPORTS SCHOOL                   ,7.6,02M393,35.5,1.6,27.6,2011-2012,57.2,21.4,72.4,4.3
97,EMMA LAZARUS HIGH SCHOOL                        ,82.8,02M394,7.2,62.4,48.8,2011-2012,26.4,0,51.2,4
5.6,SPRUCE STREET SCHOOL                            ,3.2,02M397,2.4,19.4,45.8,2011-2012,14.6,3.2,54.2,52.6
80.8,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY      ,28.3,02M399,15.6,44.3,52,2011-2012,32.8,16.8,48,5.3
56.4,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES           ,7.1,02M400,14.8,16.7,49.6,2011-2012,57.2,14.4,50.4,11.1
17.9,INSTITUTE FOR COLLABORATIVE EDUCATION           ,0.4,02M407,10.2,6.3,44.8,2011-2012,17.6,8.8,55.2,54.6
23.5,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL        ,2,02M408,19.1,7,74.7,2011-2012,23.7,3.2,25.3,41.8
54.6,BARUCH COLLEGE CAMPUS HIGH SCHOOL               ,1.6,02M411,5.8,60.6,56,2011-2012,14.6,2.3,44,18.8
21.6,NYC LAB SCHOOL FOR COLLABORATIVE STUDIES        ,1.6,02M412,8.5,29.4,53,2011-2012,14,15,47,45.9
31,SCHOOL OF THE FUTURE HIGH SCHOOL                ,2.1,02M413,12.3,16,49.2,2011-2012,26,14.6,50.8,38
51.6,NYC MUSEUM SCHOOL                               ,0.5,02M414,11.7,33,57.6,2011-2012,39.9,9.4,42.4,15.4
15.8,ELEANOR ROOSEVELT HIGH SCHOOL                   ,0.2,02M416,5.5,17.2,67.5,2011-2012,11.6,1.2,32.5,63.7
32.7,MILLENNIUM HIGH SCHOOL                          ,0.2,02M418,8.8,30,61.8,2011-2012,21.7,9.1,38.2,35.9
83.1,LANDMARK HIGH SCHOOL                            ,15.7,02M419,18.1,5.2,51.5,2011-2012,74.8,18.8,48.5,1.9
68,HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SER,4,02M420,24.4,20.5,70.6,2011-2012,49.7,10.9,29.4,5.3
40.6,QUEST TO LEARN                                  ,2.2,02M422,26.3,4.7,35.3,2011-2012,28.9,22.8,64.7,38.4
74.2,LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL       ,5.4,02M425,30.5,8.1,53.9,2011-2012,54.2,18.6,46.1,6.6
