dbn,name,year,freelunch,ell,sped,asian,black,hisp,white,male,female
28Q082,PS 082 HAMMOND                                  ,2011-2012,89.2,28,11.6,32.7,9.9,55.7,1.5,53.4,46.6
28Q086,PS 086 QUEENS                                   ,2011-2012,74.3,36.5,11.4,43.5,14.6,38.8,2.3,48.2,51.8
28Q099,PS 099 KEW GARDENS                              ,2011-2012,58.6,12.7,14.4,26.6,7.6,37.1,28.3,51.9,48.1
28Q101,PS 101 SCHOOL IN THE GARDENS                    ,2011-2012,16.9,4.8,9,36.2,3.9,12.2,44,52.3,47.7
28Q117,PS 117 J.KELD/BRIARWOOD SCH                     ,2011-2012,71.6,11.6,10,37.7,10.5,31.4,18.2,50.2,49.8
28Q121,PS 121 QUEENS                                   ,2011-2012,89.3,3.3,10.4,62.7,22,9.8,4.6,51.1,48.9
28Q139,PS 139 REGO PARK                                ,2011-2012,50.9,16.1,12.4,26.9,3.4,32.5,35.9,53.4,46.6
28Q140,PS 140 EDWARD K ELLINGTON                       ,2011-2012,80.1,3.3,13.7,2.2,75.3,12.3,2.2,52.8,47.2
28Q144,PS 144 COL JEROMUS REMSEN                       ,2011-2012,23.1,5.5,14.1,35.8,4.4,17.3,35.9,49.3,50.7
28Q157,JHS 157 STEPHEN A HALSEY                        ,2011-2012,44.6,15.2,17.7,21.6,11.5,22.7,44,52.4,47.6
28Q160,PS 160 WALTER FRANCIS BISHOP                    ,2011-2012,89,5.9,17,10.5,62.2,18.5,2.6,52.2,47.8
28Q161,PS 161 ARTHUR ASHE SCHOOL                       ,2011-2012,83.8,12.3,9.3,70.2,6.7,15.6,2.4,53.5,46.5
28Q167,METROPOLITAN EXPEDITIONARY LEARNING SCHOOL      ,2011-2012,39.8,1.8,18.1,21.1,19,29.8,28.7,55.6,44.4
28Q174,PS 174 WILLIAM SIDNEY MOUNT                     ,2011-2012,34.6,8.9,9.5,32.5,3.4,22.4,38.5,54.8,45.2
28Q175,PS 175 THE LYNN GROSS DISCOVERY SCHOOL          ,2011-2012,51.3,8.6,12.1,16.4,2.7,13.8,66.9,52.5,47.5
28Q182,PS 182 SAMANTHA SMITH                           ,2011-2012,88.9,39.4,9.8,36.9,14.6,44.6,2.4,50.7,49.3
28Q190,JHS 190 RUSSELL SAGE                            ,2011-2012,35.7,10.7,16.2,36.2,8.4,25.9,27.5,52.7,47.3
28Q196,PS 196 GRAND CENTRAL PKWY                       ,2011-2012,18.4,5.8,9.4,44,2.3,12.9,37.6,50.9,49.1
28Q206,PS 206 HORACE HARDING                           ,2011-2012,75.8,21.4,8.4,17.2,20.6,31.9,28.7,51.4,48.6
28Q217,JHS 217 ROBERT A VAN WYCK                       ,2011-2012,70.9,15.4,15,35.4,18.3,40.2,5.3,49.6,50.4
28Q220,PS 220 EDWARD MANDEL                            ,2011-2012,65.7,24.3,16.6,23.3,9.2,25.3,40.4,55.7,44.3
28Q284,YORK EARLY COLLEGE ACADEMY                      ,2011-2012,60.2,0,9.6,23.5,64.2,10.2,0.6,51.1,48.9
28Q303,THE ACADEMY FOR EXCELLENCE THROUGH THE ARTS     ,2011-2012,10,1.9,10,21.9,1.4,17.6,56.2,47.6,52.4
28Q310,QUEENS COLLEGIATE: A COLLEGE BOARD SCHOOL       ,2011-2012,61.5,8.1,12.3,27,49,18.5,3,49.9,50.1
28Q325,HILLSIDE ARTS & LETTERS ACADEMY                 ,2011-2012,65.6,12.5,11,28,39,21,6.5,47,53
28Q328,HIGH SCHOOL FOR COMMUNITY LEADERSHIP            ,2011-2012,75.3,26,13,19.2,39,33.9,5.6,50.8,49.2
28Q338,SATELLITE ACADEMY HS @ JAMAICA LEARNING CENTER  ,2011-2012,74.5,2,6,2.4,61.4,17.5,10,45.4,54.6
28Q350,JAMAICA GATEWAY TO THE SCIENCES                 ,2011-2012,60,4.5,7.1,45.1,36.6,15.2,2.7,46.4,53.6
28Q354,PS 354                                          ,2011-2012,60,3,13.7,2.3,88.2,8,1.1,55.9,44.1
28Q440,FOREST HILLS HIGH SCHOOL                        ,2011-2012,41.2,8.9,11.3,26.5,9,30.2,33.7,48.1,51.9
28Q470,JAMAICA HIGH SCHOOL                             ,2011-2012,55.8,29.4,14,31,41.7,25.9,1.1,58.9,41.1
